Draw,Date,Winning Number 1,2,3,4,5,6,7,Powerball ,From Last,Same As Day,Odd,Even, 1-10, 11-20, 21-30, 31-40,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize,Division 9 Winners,Division 9 Prize
1361,2022-06-16,3,6,12,15,18,28,29,15,"3,6",,3,4,2,3,2,0,0,0,8,59787.1,83,3521.6,1435,370.35,2703,147.45,37401,68.9,51242,39.4,225017,17.7,639729,10.9
1360,2022-06-09,2,3,6,13,20,23,34,12,6,,3,4,3,2,1,1,0,0,3,103525.85,33,5751.45,701,492.3,1635,158.3,22675,73.8,30246,43.35,144353,17.95,416547,10.9
1359,2022-06-02,6,8,11,15,21,31,33,7,"21,33",,5,2,2,2,1,2,0,0,2,120213.15,37,3971,635,420.7,1265,158.4,18700,69.3,23653,42.9,115068,17.4,335014,10.5
1358,2022-05-26,10,13,16,19,21,25,33,18,,,5,2,1,3,2,1,1,4662065.18,2,119724.05,37,3954.85,551,482.85,1262,158.1,17538,73.6,24357,41.5,108166,18.45,311784,11.2
1357,2022-05-19,5,8,11,15,27,28,34,3,,,4,3,2,2,2,1,2,40000000,8,166104.6,190,4274.05,3473,425.15,7482,148,103131,69.45,143303,39.15,632819,17.5,1806211,10.75
1356,2022-05-12,4,7,9,14,16,18,22,10,16,,2,5,3,3,1,0,0,0,10,95476.55,124,4705.4,2629,403.5,5226,152.25,74963,68.65,102676,39.25,459820,17.3,1295874,10.75
1355,2022-05-05,2,12,16,17,26,30,35,19,"12,16",,2,5,1,3,2,1,0,0,7,94455.1,70,5772.25,1564,469.75,3314,166.25,47679,74.75,62386,44.75,306225,18,906496,10.65
1354,2022-04-28,1,7,12,16,19,24,25,7,"19,25",,4,3,2,3,2,0,0,0,3,149481.2,75,3654,1067,467,2831,132,37736,64.05,47076,40.2,228654,16.35,642813,10.2
1353,2022-04-21,15,17,19,22,25,28,29,6,,,5,2,0,3,4,0,0,0,3,92040.4,40,4218.5,740,414.6,1444,159.35,20764,71.65,27970,41.7,129099,17.8,367932,10.95
1352,2022-04-14,2,3,5,11,14,20,31,4,"3,5",14,4,3,3,3,0,1,0,0,1,234798.8,25,5739.55,651,400.75,1181,165.7,17775,71.2,23575,42.05,110548,17.7,315535,10.85
1351,2022-04-07,3,5,7,10,15,30,34,12,"10,34",7,4,3,4,1,1,1,1,20000000,4,122136.95,64,4664.95,1219,445.3,2519,161.6,37386,70.4,47460,43.45,232944,17.5,673599,10.6
1350,2022-03-31,6,10,13,26,27,28,34,11,28,,2,5,2,1,3,1,0,0,2,154478.05,38,4968.6,712,482.15,1567,164.3,23663,70.35,28463,45.85,148787,17.3,430925,10.5
1349,2022-03-24,4,5,9,21,23,28,32,20,23,,4,3,3,0,3,1,0,0,1,220586.35,25,5392.1,416,589.15,1029,178.65,16263,73.1,20651,45.1,102324,17.95,298596,10.8
1348,2022-03-17,2,7,13,17,19,23,25,13,"13,19",17,6,1,2,3,2,0,2,10000000,25,18612.15,94,3025.05,1557,332.05,3362,115.35,44104,56.85,59459,33.05,243290,15.95,654825,10.4
1347,2022-03-10,5,13,15,16,19,29,35,16,,,6,1,1,4,1,1,0,0,1,299978.15,40,4583,812,410.5,1511,165.45,21960,73.6,30280,41.85,135463,18.45,387402,11.3
1346,2022-03-03,2,4,12,18,24,27,28,4,"27,28",,1,6,2,2,3,0,0,0,0,0,33,10980.55,513,487.15,1275,147,18293,66.25,23594,40.25,108200,17.3,303457,10.85
1345,2022-02-24,6,9,15,27,28,32,33,8,6,,4,3,2,1,2,2,2,63309056.98,36,77385.9,349,4878.2,6640,466.2,14200,163.5,204888,73.25,272364,43.2,1293782,17.95,3765831,10.8
1344,2022-02-17,6,7,13,22,24,30,34,10,,,2,5,2,1,3,1,0,0,18,73329.7,174,4635.8,3255,450.55,6800,161.75,97464,73,125846,44.3,609656,18.05,1768960,10.9
1343,2022-02-10,3,5,16,19,26,31,32,6,"16,26,31",,4,3,2,2,1,2,0,0,7,128580.25,116,4741.7,2453,407.7,4407,170.2,65041,74.55,84169,45.15,411201,18.25,1198178,11
1342,2022-02-03,11,16,18,21,22,26,31,8,,,3,4,0,3,3,1,0,0,2,320547.15,81,4836.8,1590,448,3449,154.9,48189,71.7,66973,40.4,302483,17.65,869615,10.75
1341,2022-01-27,4,10,15,25,27,28,32,18,25,27,3,4,2,1,3,1,0,0,1,392680.55,44,5453.9,780,559.35,1934,169.2,28326,74.7,38214,43.4,177708,18.4,516309,11.1
1340,2022-01-20,11,14,25,26,31,34,35,1,,,4,3,0,2,2,3,0,0,3,88452.1,33,4914,587,502.3,1155,191.45,17386,82.25,22855,49,113095,19.55,333036,11.65
1339,2022-01-13,2,9,13,24,28,29,33,13,"28,29",13,4,3,2,1,3,1,0,0,0,0,31,10708.15,521,439.4,1099,156.25,16660,66.65,19498,44.6,103577,16.6,295646,10.2
1338,2022-01-06,5,15,20,27,28,29,34,8,,,4,3,1,2,3,1,1,60000000,4,216329.2,117,4519.7,2168,443.5,4292,168,62278,74.9,80436,45.4,396974,18.15,1161870,10.9
1337,2021-12-30,16,18,19,23,26,32,35,10,16,,3,4,0,3,2,2,0,0,2,259329.05,75,4226.1,1258,458.1,2608,165.75,37594,74.35,48994,44.7,235303,18.35,688159,11
1336,2021-12-23,3,10,13,16,20,29,33,19,"3,33",,4,3,2,3,1,1,0,0,6,77120.8,65,4350.4,1183,434.6,2455,157.05,34524,72.25,45359,43.05,218020,17.7,635023,10.65
1335,2021-12-16,3,18,25,30,32,33,34,6,"25,34",,3,4,1,1,2,3,0,0,2,152144.9,34,5469.25,649,520.95,1340,189.25,20262,80.95,25853,49.7,129873,19.5,391318,11.35
1334,2021-12-09,4,9,14,25,28,29,34,3,4,9,3,4,2,1,3,1,0,0,1,215387.1,30,4387.5,441,542.65,1031,174.1,15419,75.3,20054,45.35,97084,18.5,285728,11
1333,2021-12-02,4,5,19,26,27,30,33,8,,,4,3,2,1,3,1,1,80000000,14,89207.7,142,5374.8,2732,507.95,6219,167.35,91572,73.5,117336,44.95,581780,17.9,1701221,10.75
1332,2021-11-25,3,9,16,17,21,22,34,9,"3,34",,4,3,2,2,2,1,0,0,4,231561.65,114,4965.25,2318,444,4923,156.8,69927,71.4,91696,42.65,438338,17.6,1266791,10.7
1331,2021-11-18,1,3,5,8,13,19,34,11,"1,3",,5,2,4,2,0,1,0,0,2,326501.65,107,3729.5,2028,357.75,3771,144.3,51569,68.25,70068,39.35,317707,17.15,903702,10.55
1330,2021-11-11,1,2,3,4,15,17,20,16,15,,4,3,4,3,0,0,0,0,3,157668.8,59,4899.3,1065,493.5,2280,172.9,33511,76.05,45323,44.05,210873,18.7,622100,11.1
1329,2021-11-04,8,12,15,18,27,30,34,8,15,,2,5,1,3,2,1,0,0,3,95467.25,38,4605.9,670,474.95,1546,154.4,22382,68.95,28503,42.45,138600,17.2,397664,10.5
1328,2021-10-28,9,10,14,15,23,26,29,3,,,4,3,2,2,3,0,0,0,2,107331.7,19,6904.4,433,550.85,1036,172.65,16098,71.85,20948,43.25,100206,17.85,290757,10.8
1327,2021-10-21,2,7,11,17,27,28,30,11,"17,27",,4,3,2,2,3,0,1,60000000,23,41279.9,154,3767.6,2818,374.35,6356,124.5,85447,59.9,116992,34.25,482032,16.4,1329280,10.45
1326,2021-10-14,12,17,20,22,23,27,32,17,27,,3,4,0,3,3,1,0,0,4,168109.5,94,4371.65,1657,450.9,3531,158.7,52134,69.5,67404,42.1,319218,17.55,904048,10.85
1325,2021-10-07,4,13,18,25,27,29,34,13,"18,25,27",,4,3,1,2,3,1,0,0,4,120554.45,66,4465,1138,470.8,2530,158.85,38036,68.3,46811,43.5,235725,17.05,673546,10.45
1324,2021-09-30,2,7,14,18,24,25,27,20,"14,24",,3,4,2,2,3,0,0,0,0,0,44,10961.5,809,411.15,1693,147.35,23558,68.5,31862,39.65,143881,17.35,405616,10.8
1323,2021-09-23,3,8,10,14,21,23,24,5,8,23,3,4,3,1,3,0,0,0,2,109416.75,23,5814.4,526,462.25,1200,151.95,17434,67.65,21871,42.25,106825,17.05,301893,10.6
1322,2021-09-16,1,8,9,22,30,31,32,9,8,,3,4,3,0,2,2,1,9929133.09,1,288490.35,31,5687.1,543,590.3,1407,170.85,20548,75.65,24996,48.75,132907,18.1,396237,10.65
1321,2021-09-09,2,3,6,8,17,20,23,2,17,,3,4,4,2,1,0,0,0,2,111111.05,32,4243.8,679,363.65,1254,147.7,17331,69.1,23724,39.55,105628,17.55,290559,11.15
1320,2021-09-02,4,5,12,14,17,25,28,10,"14,25,28",,3,4,2,3,2,0,1,20507103.16,27,18199.85,53,5666,1193,457.65,2572,159.2,37544,70.55,50071,41.45,232852,17.6,665318,10.8
1319,2021-08-26,10,11,14,25,27,28,32,6,10,,3,4,1,2,3,1,0,0,2,166397.6,42,4842.25,809,457.05,1610,172.25,23743,75.55,30745,45.7,151970,18.25,443332,10.95
1318,2021-08-19,2,7,8,9,10,26,30,3,"10,26",,2,5,5,0,2,0,0,0,4,57585.25,28,5027.3,592,432.3,1298,147.9,18070,68.7,24922,39,113885,16.85,320169,10.5
1317,2021-08-12,4,10,17,19,21,23,26,7,"10,21",,4,3,2,2,3,0,1,80000000,13,109858.6,219,3985.25,3837,413.55,8269,143.95,115376,66.7,150422,40.1,704784,16.9,2003946,10.4
1316,2021-08-05,7,10,11,12,16,21,25,18,7,,4,3,2,3,2,0,0,0,7,130228.2,119,4681.4,2168,467.2,5094,149.15,71252,68.95,97594,39.45,436559,17.4,1239777,10.75
1315,2021-07-29,4,7,22,23,26,33,35,17,,,4,3,2,0,3,2,0,0,5,130455.35,61,6534.65,1485,488.05,3268,166.35,48998,71.75,63812,43.15,305483,17.8,873078,10.9
1314,2021-07-22,13,15,16,20,25,28,29,11,"16,25",,4,3,0,4,3,0,0,0,6,77857.3,55,5190.5,1022,507.9,2421,160.8,34421,73.15,43581,45.25,217931,17.85,638440,10.7
1313,2021-07-15,3,11,16,17,25,26,32,2,"17,32",,4,3,1,3,2,1,0,0,3,98683.15,43,4207.4,692,475.35,1395,176.85,20967,76.1,27807,44.95,134535,18.35,389363,11.1
